date,marriages,divorces,births
2000-1,1804,1336,7306
2000-2,1610,2041,7441
2000-3,1799,2104,8001
2000-4,2477,1822,7931
2000-5,3565,1854,8186
2000-6,7423,1982,7815
2000-7,7504,1770,8000
2000-8,6657,1577,7768
2000-9,4055,1879,7490
2000-10,2062,1979,7267
2000-11,1723,1957,6770
2000-12,2459,1781,6466
2001-1,1585,1599,7677
2001-2,1599,1789,7288
2001-3,1861,1950,8237
2001-4,2122,1845,8217
2001-5,3630,1818,8473
2001-6,7032,1686,7814
2001-7,5389,1893,8103
2001-8,6073,1568,7928
2001-9,3879,1727,7526
2001-10,1941,2108,7427
2001-11,1664,1928,6497
2001-12,2382,1615,6364
2002-1,1599,1555,7807
2002-2,1831,1923,7483
2002-3,2037,1790,8448
2002-4,1904,1853,8799
2002-5,4354,2027,8745
2002-6,6700,1724,8088
2002-7,5766,1938,8317
2002-8,7307,1489,8274
2002-9,3436,1826,8038
2002-10,2305,2079,8058
2002-11,1975,1835,6898
2002-12,2309,1822,6860
2003-1,1727,1449,8049
2003-2,1823,1888,7826
2003-3,1930,1890,8619
2003-4,2185,2103,8767
2003-5,4723,1740,8656
2003-6,6288,1745,8528
2003-7,5691,2074,9186
2003-8,7765,1443,8481
2003-9,3649,1866,8355
2003-10,2441,2152,8231
2003-11,2011,1626,7215
2003-12,2459,1842,7244
2004-1,2080,1272,8400
2004-2,2320,1887,8117
2004-3,1918,2024,8978
2004-4,2713,1761,8912
2004-5,5332,1794,8794
2004-6,5937,1792,8936
2004-7,7814,1904,9150
2004-8,7269,1485,8772
2004-9,4045,1706,7927
2004-10,2869,1694,7927
2004-11,2152,1751,7827
2004-12,2604,1738,7374
2005-1,2206,1445,8277
2005-2,2165,1726,7797
2005-3,2265,1859,8953
2005-4,2608,1640,8961
2005-5,4912,1837,9026
2005-6,5785,1868,8968
2005-7,7630,1681,8424
2005-8,7971,1580,8968
2005-9,4555,1704,8424
2005-10,3018,1855,8230
2005-11,2218,1878,7299
2005-12,2881,1674,7444
2006-1,2308,1499,8543
2006-2,2272,1705,8434
2006-3,2416,1970,9714
2006-4,2940,1657,9248
2006-5,4397,1788,9486
2006-6,6575,1770,9095
2006-7,7974,1843,9538
2006-8,7838,1699,9302
2006-9,5297,1718,8692
2006-10,2870,2020,8767
2006-11,2372,1869,7725
2006-12,3242,1747,7369
2007-1,2582,1563,8777
2007-2,2598,1837,8316
2007-3,2836,1924,9518
2007-4,2881,1678,9353
2007-5,4697,1843,9739
2007-6,7042,1941,9132
2007-7,8292,1935,9688
2007-8,7992,1714,9373
2007-9,5536,1660,8834
2007-10,3210,2035,8922
2007-11,2613,2002,8009
2007-12,3227,1680,7720
2008-1,2625,1572,8930
2008-2,2919,2094,8585
2008-3,3073,1873,9332
2008-4,2931,1813,9791
2008-5,5650,1978,9734
2008-6,6741,1894,9917
2008-7,7382,1983,10137
2008-8,11276,1667,9477
2008-9,4529,1851,9024
2008-10,3492,2088,8796
2008-11,2796,1866,7826
2008-12,3031,1901,7852
2009-1,2652,1361,8930
2009-2,2897,2008,8585
2009-3,2638,2141,9779
2009-4,3143,2075,9681
2009-5,5962,1592,9786
2009-6,6650,2041,9810
2009-7,7398,2345,10341
2009-8,8883,1497,10116
2009-9,5211,1988,9470
2009-10,3367,2316,9021
2009-11,2590,2098,8225
2009-12,2958,2072,8323
2010-1,2928,1433,9765
2010-2,2744,2138,9228
2010-3,2868,2274,10281
2010-4,3091,2068,10023
2010-5,5944,2240,10113
2010-6,6869,2241,10410
2010-7,9191,2296,10301
2010-8,8279,1843,9996
2010-9,4859,2070,9497
2010-10,4383,2213,9473
2010-11,2694,2185,8501
2010-12,2705,2150,8373
2011-1,2579,1641,9252
